Product_Name,euro_price,gender,Color,company
SIGNATURE JEANS MIT GERADEM BEIN,89.0,Men,Blue,H&M
SIGNATURE JEANS MIT GERADEM BEIN,89.0,Men,Gray,H&M
RIDER RAW SELVEDGE-JEANS MIT GERADEM BEIN,129.0,Men,Blue,H&M
CANYON Bootcut-Jeans mit normaler Passform,99.0,Men,Blue,H&M
Ray Relaxed Tapered Leg Jeans,60.0,Men,Black,H&M
Ray Relaxed Tapered Leg Jeans,60.0,Men,Blue,H&M
Klean Regular Straight Leg Jeans,70.0,Men,Black,H&M
Mercury Relaxed Bootcut Leg Jeans,60.0,Men,Black,H&M
Mercury Relaxed Bootcut Leg Jeans,60.0,Men,Blue,H&M
Mercury Relaxed Bootcut Leg Jeans,60.0,Men,Gray,H&M
Baggy Fit Cargo Jeans,34.99,Kid,Blue,H&M
Baggy Fit Low Jeans,29.99,Kid,Blue,H&M
Baggy Fit Jeans,29.99,Kid,Black,H&M
Baggy Fit Jeans,29.99,Kid,Blue,H&M
Baggy Fit Jeans,29.99,Kid,Gray,H&M
Bootcut Leg Low Jeans,29.99,Kid,Black,H&M
Bootcut Leg Low Jeans,29.99,Kid,Blue,H&M
Super Baggy Jeans,34.99,Kid,Blue,H&M
Super Baggy Jeans,34.99,Kid,Gray,H&M
Baggy Fit Bootcut Leg Jeans,27.99,Kid,Black,H&M
Baggy Fit Bootcut Leg Jeans,27.99,Kid,Blue,H&M
Comfort Stretch Slim Fit Jeans,24.99,Kid,Blue,H&M
Comfort Stretch Slim Fit Jeans,24.99,Kid,Gray,H&M
Baggy Fit Bootcut Leg Jeans,34.99,Kid,Blue,H&M
Wide Leg Jeans,24.99,Kid,Black,H&M
Wide Leg Jeans,24.99,Kid,Blue,H&M
Wide Leg Jeans,24.99,Kid,Gray,H&M
Loose Fit Jeans,24.99,Kid,Black,H&M
Loose Fit Jeans,24.99,Kid,Blue,H&M
Relaxed Tapered Fit Jeans,24.99,Kid,Black,H&M
Relaxed Tapered Fit Jeans,24.99,Kid,Blue,H&M
Relaxed Tapered Fit Jeans,24.99,Kid,Gray,H&M
Straight Leg Jeans,27.99,Kid,Blue,H&M
2er-Pack Comfort Stretch Relaxed Fit Jeans,49.99,Kid,Black,H&M
2er-Pack Comfort Stretch Relaxed Fit Jeans,49.99,Kid,Blue,H&M
2er-Pack Comfort Stretch Relaxed Fit Jeans,49.99,Kid,Gray,H&M
Flared Leg Low Jeans,29.99,Kid,Blue,H&M
Flared Leg Low Jeans,29.99,Kid,Gray,H&M
Wide Leg Jeans,29.99,Kid,Black,H&M
Wide Leg Jeans,29.99,Kid,Blue,H&M
Loose Fit Jeans,39.99,Kid,Blue,H&M
Slim Fit Jeans mit Biesen,29.99,Kid,Blue,H&M
Wide Leg Cargo Jeans,29.99,Kid,Blue,H&M
Wide Leg Cargo Jeans,29.99,Kid,Gray,H&M
Loose Fit Wide Leg Jeans,29.99,Kid,Blue,H&M
Baggy Fit Carpenter Jeans,34.99,Kid,Black,H&M
Baggy Fit Carpenter Jeans,34.99,Kid,Blue,H&M
Jeans mit weitem Bein,29.99,Kid,Blue,H&M
Jeans mit weitem Bein,29.99,Kid,Gray,H&M
